subject,vsl_accuracy_day1,vsl_accuracy_day2,D1,D1Scaled,Speech1,Speech2,age,sex,idae,axae,DM1Scaled,DM2Scaled,wais4_total_raw,Dsscaled
102,1,0.969,0.16,0.517204301,2.21,2.42,19.90743593,2,0.57,0.5533333,0.6207924,0.70707,32,0.941176471
106,0.531,0.531,0,0.5,-0.055,-0.03,21.94432466,2,0.9383333,0.7566667,0.6193344,0.6649592,25,0.735294118
108,0.594,0.344,0.4,0.543010753,0.985,1.525,21.06260453,2,1.7433333,1.0066667,0.5911146,0.6950835,25,0.735294118
118,0.938,0.5,1.66,0.678494624,2.89,3.285,22.94639863,2,0.5316667,0.79,0.6730943,0.774502,31,0.911764706
123,0.719,0.875,1.68,0.680645161,2.35,3.175,21.06545651,2,0.57,0.95,0.7183675,0.7714009,33,0.970588235
124,0.781,1.0300461,2.04,0.719354839,3.195,3.725,24.3427312,2,0.3916667,0.8033333,0.7270916,0.8133444,30,0.882352941
125,0.906,0.812,0.57,0.561290323,1.385,2.26,19.98398324,2,0.8066667,1.0533333,0.6970569,0.7414654,20,0.588235294
127,0.938,1,0.47,0.550537634,1.665,3.09,26.03475773,1,0.8066667,1,0.7473168,0.8565023,29,0.852941176
130,0.938,0.906,0.09,0.509677419,2.43,2.26,24.44129585,1,0.7866667,1.2666667,0.6207924,0.5911573,26,0.764705882
131,0.781,0.688,0.65,0.569892473,1.31,1.925,20.80524127,2,0.445,1.0133333,0.6118994,0.6473441,33,0.970588235
132,0.9621591,0.938,0.89,0.595698925,1.38,1.385,25.25993005,2,0.6416667,0.91,0.6434906,0.5631776,30,0.882352941
134,0.8615812,0.8923003,0.32,0.534408602,1.32,1.13,19.86340126,2,0.6183333,0.8033333,0.6251673,0.659411,27,0.794117647
136,0.438,1.0072091,0.57,0.561290323,0.775,1.71,21.84838384,2,0.435,0.8966667,0.6487391,0.6601046,33,0.970588235
137,0.469,0.594,0.65,0.569892473,0.78,1.855,22.1168128,2,0.435,0.4833333,0.6493641,0.6908678,31,0.911764706
146,0.969,0.812,0.75,0.580645161,1.215,1.9,21.49268408,1,0.69,0.8966667,0.6973992,0.7308587,30,0.882352941
147,1,1,1.56,0.667741935,2.43,2.805,19.05868476,2,0.3916667,1.0133333,0.5804354,0.5911573,30,0.882352941
150,0.438,0.6866071,0.82,0.588172043,0.755,1.685,19.9264872,2,0.3166667,0.7,0.5629804,0.6613354,30,0.882352941
154,0.5,0.406,0,0.5,-0.23,-0.505,21.36674036,2,3.5033333,2.2433333,0.720931,0.6772588,33,0.970588235
163,0.969,0.969,0.58,0.562365591,0.705,0.945,21.31472013,2,0.8933333,1,0.6277481,0.6805171,29,0.852941176
168,0.7873627,0.9673965,0.24,0.525806452,1.045,1.52,20.62739139,2,0.6416667,0.8966667,0.4588394,0.5602601,31,0.911764706
170,0.531,0.719,-0.16,0.482795699,0.8,0.69,19.26653753,1,0.435,0.8066667,0.6438735,0.6558723,30,0.882352941
