age,sex,vsl_accuracy_day1,vsl_accuracy_day2,D1,D2,D3,ID1,ID2,Speech1,Speech2,idae,axae,DM1Scaled,DM2Scaled
19.90743593,2,1,0.969,0.16,2.02,2.16,2.4,2.68,2.21,2.42,0.57,0.553333333,0.620792414,0.707070048
21.94432466,2,0.531,0.531,0,0.72,0.66,-0.83,-0.72,-0.055,-0.03,0.938333333,0.756666667,0.619334419,0.664959199
21.06260453,2,0.594,0.344,0.4,0.93,0.93,1.04,2.12,0.985,1.525,1.743333333,1.006666667,0.591114575,0.695083506
22.94639863,2,0.938,0.5,1.66,2.68,3.4,3.1,3.17,2.89,3.285,0.531666667,0.79,0.673094339,0.774501989
21.06545651,2,0.719,0.875,1.68,2.85,3.18,1.85,3.17,2.35,3.175,0.57,0.95,0.718367457,0.771400925
24.3427312,2,0.781,,2.04,3.18,3.48,3.21,3.97,3.195,3.725,,,0.727091559,0.813344409
19.98398324,2,0.906,0.812,0.57,1.66,1.59,1.11,2.93,1.385,2.26,0.806666667,1.053333333,0.697056876,0.741465441
26.03475773,1,0.938,1,0.47,1.81,2.21,1.52,3.97,1.665,3.09,,,0.747316758,0.856502349
24.44129585,1,0.938,0.906,0.09,1.33,,0.19,,,,0.786666667,1.266666667,,
20.80524127,2,0.781,0.688,0.65,1.79,1.73,0.83,2.12,1.31,1.925,0.445,1.013333333,0.611899435,0.647344081
25.25993005,2,,0.938,0.89,1.68,1.35,1.08,1.42,1.38,1.385,0.641666667,0.91,0.643490588,0.563177614
19.86340126,2,,,0.32,1.07,1.35,1.57,0.91,1.32,1.13,0.618333333,0.803333333,0.625167339,0.659411038
21.84838384,2,0.438,,0.57,0.83,0.74,0.72,2.68,0.775,1.71,0.435,0.896666667,0.648739102,0.660104602
22.1168128,2,0.469,0.594,0.65,0.4,1.64,1.16,2.07,0.78,1.855,0.435,0.483333333,0.649364113,0.69086778
21.49268408,1,0.969,0.812,0.75,1.07,1.73,1.36,2.07,1.215,1.9,0.69,0.896666667,0.697399231,0.730858651
19.05868476,2,1,1,1.56,2.54,2.68,2.32,2.93,2.43,2.805,0.391666667,1.013333333,0.580435435,0.591157344
19.9264872,2,0.438,,0.82,0.24,1.66,1.27,1.71,0.755,1.685,0.316666667,0.7,0.562980366,0.661335355
21.36674036,2,0.5,0.406,0,-0.46,-1.01,0,0,-0.23,-0.505,3.503333333,2.243333333,0.720931043,0.677258758
21.31472013,2,0.969,0.969,0.58,0.83,0.92,0.58,0.97,0.705,0.945,0.893333333,1,0.627748124,0.680517124
20.62739139,2,,,0.24,0.9,1.08,1.19,1.96,1.045,1.52,0.641666667,0.896666667,0.458839414,0.56026014
19.26653753,1,0.531,0.719,-0.16,0.64,0.47,0.96,0.91,0.8,0.69,0.435,0.806666667,0.643873457,0.65587229
